Title3,Following Perseus,Greek,English,Benjamin_Jowett,Schleiermacher,Rahimi,Nikpour,Shojaian,Mohammadi,Mahmoodzadeh,Asimi,1st final translation,2nd final translation,3rd final translation,Kazeminia
0059-003|1.|Cr.43a.1.,0059-003|1.|Cr.43a.1.,"Σωκράτης. τί τηνικάδε ἀφῖξαι, ὦ Κρίτων; ","Socrates. Why have you come at this time, Crito? ","Soc. Why have you come at this hour, Crito?","Sokrates: Wie bist du schon um diese Zeit gekommen, Kriton? ",,"کریتون , چرا این وقت روز آمده‌ای ؟","ای کریتون چرا اکنون [ بدین جا ] آمده ای ,","ای کریتون , برای چه بدین زودی ( در این وقت روز ) آمده‌ای ؟ ",چرا اینسان زود آمده ایی کریتون ؟ ,"چطور در این وقت آمده ای , ای کریتون؟",سقراط:  برای چه بدین زودی آمده‌ای، ای کریتون؟,سقراط:  کریتون، چرا این وقت روز آمده‌ای؟,سقراط: ای کریتون، چرا اکنون [ بدین جا ] آمده‌ای؟,چرا این موقع از روز آمده ای؟ کریتون .
0059-003|2.|Cr.43a.2.,0059-003|1.|Cr.43a.1.,ἢ οὐ πρῲ ἔτι ἐστίν;,Or isn't it still early?,it must be quite early.,Oder ist es nicht noch früh?,,آیا هنوز زود نیست ؟,یا هنوز زود نیست؟,یا هنوز زود نیست ؟,یا اینکه اکنون خیلی زود نیست ؟,یا دیگر زود هم نیست؟,یا دیگر زود نیست ؟,یا اکنون زود نیست؟,یا هنوز زود نیست؟,زود نیست؟
0059-003|3.|Cr.43a.3.,0059-003|2.|Cr.43a.2.,Κρίτων. πάνυ μὲν οὖν.,"Crito. Yes, very early.","Cr. Yes, certainly.",Kriton: Noch gar sehr.,,. کریتون به‌واقع خیلی,بله در واقع زود است .,آری چنین است ., البته که چنین است .,"چرا یقینا همینطور است .
",کریتون: یقینا زود است.,کریتون: البته که چنین است.,کریتون: آری همینطور است .,"آری , قطعا همینطور است"
0059-003|4.|Cr.43a.4.,0059-003|3.|Cr.43a.3.,Σωκράτης. πηνίκα μάλιστα;,Socrates. About what time?,Soc. What is the exact time?,Sokrates: Welche Zeit wohl?,به راستی چه وقت/موقع است؟,سقراط حدوداً چه ساعتی است ؟,حدوداً چه زمانی است؟,حدوداً چه زمانی است ؟,حدوداً چه زمانی است ؟,دقیقا چه وقت است؟, سقراط: دقیقا چه زمانی است؟, سقراط: حدوداً چه زمانی [است]؟, سقراط: حدوداً چه هنگام است؟,حدودا چه هنگام است؟
0059-003|5.|Cr.43a.5.,0059-003|4.|Cr.43a.4.,Κρίτων. ὄρθρος βαθύς.,Crito. Just before dawn.,Cr. The dawn is breaking.,Kriton: Die erste Morgendämmerung.,پیش از سپیده‌دم .,. کریتون درست پیش از سپیده‌دم,باید قبل از سپیده دم [ باشد ] .,به هنگام گرگ و میش صبح ( سپیده‌دم ) .,اندکی تا سپیده دم .,پیش از سپیده سحر,کریتون: اندکی تا سپیده دم.,کریتون: دقیقا قبل از طلوع.,کریتون: درست پیش از سپیده سحر.,دقیقا قبل از طلوع
0059-003|6.|Cr.43a.6.,0059-003|5.|Cr.43a.5.,Σωκράτης. θαυμάζω ὅπως ἠθέλησέ σοι ὁ τοῦ δεσμωτηρίου φύλαξ ὑπακοῦσαι.,Socrates. I am surprised that the watchman of the prison was willing to let you in.,Soc. I wonder the keeper of the prison would let you in.,"Sokrates: Da wundere ich mich, daß der Schließer des Gefängnisses dir aufmachen gewollt hat.",شگفت است که نگهبان زندان اینچنین به پذیرفتن‌ات/ راه دادن ‌ات مایل شد .,. سقراط تعجب می‌کنم چطور نگهبان زندان به تو اذن ورود داد,در شگفتم که نگهبان زندان مجاب شد تا تو را راه دهد .,در شگفتم که چگونه نگهبان زندان ( زندانبان ) به داخل شدن تو [ به سلول من ] راضی شد !,درشگفتم نگهبان زندان چگونه راضی به گشودنِ در برای تو شد ؟,در عجبم که چطور این نگهبان زندان خوش داشته ترا بنیوشد ., سقراط: در عجبم که چطور این نگهبان زندان خوش داشته ترا بنیوشد ., سقراط: عجب می‌کنم چطور نگهبان زندان به پذیرفتن‌ات مجاب شد., سقراط: در شگفتم نگهبان زندان چگونه راضی به گشودنِ در برای تو شد.,درعجبم که نگهبانِ زندان به تو اجازه داد که داخل شوی
0059-003|7.|Cr.43a.7.,0059-003|6.|Cr.43a.6.,"Κρίτων. συνήθης ἤδη μοί ἐστιν, ὦ Σώκρατες, διὰ τὸ πολλάκις δεῦρο φοιτᾶν, καί τι καὶ εὐεργέτηται ὑπ᾽ ἐμοῦ.","Crito. He is used to me by this time, Socrates, because I come here so often, and besides I have done something for him.","Cr. He knows me because I often come, Socrates; moreover. I have done him a kindness.","Kriton: Er ist schon gut bekannt mit mir, Sokrates, weil ich oft hieher komme. Auch hat er wohl eher etwas von mir erhalten.","از پیش با من آشنا است , آه سقراط , تاکنون اغلب به لطف اینکه منعم‌اش هستم البته با دادن چیزی , بدین جا آمد و شد دارم , و تحت [ فرمان ] من است .","کریتون سقراط , او از پیش با من آشناست , زیرا رفت‌و‌آمدم بدین‌سو بسیار است , و گذشته از این از قِبل من چیزی به سود برده است .",ای سقراط او تاکنون با من ایاغ شده است . زیرا بیشتر اوقات بدین جا تردد میکنم و در واقع از جانب من به او نفعی میرسد .,"به دلیل رفت‌وآمد بسیار ( مکرر ) به اینجا دیگر مرا شناخته است ( به من عادت کرده است ) , ای سقراط , همچنین از من به او لطفی و نفعی رسیده است .","به خاطرِ رفت و آمد بسیار بدین جا دیگر با من آشناست , آه ! سقراط ; وانگهی از سویِ من تطمیع نیز شده است .","چندی است که به خاطر تردد مکرر بدینجای آشنای من است , ای سقراط و به علاوه از جانب من به او خیر رسیده است .",کریتون: ای سقراط، او از پیش با من ایاغ است، زیرا بسیار بدین‌سو آمد و شد دارم، همچنین از سویِ من تطمیع نیز شده است.,کریتون: به خاطرِ رفت و آمد بسیار بدین جا دیگر مرا شناخته است، ای سقراط، وانگهی از من به او نفعی رسیده است .,کریتون: به دلیل تردد مکرر بدین‌جای، از پیش با من آشناست، سقراط، به علاوه از قِبل من چیزی به سود برده است.,"به دلیل رفت و آمدِ زیاد , از پیش با من آشناست , سقراط . و همچنین بخاطر چیزیست که از من به او می رسد"
0059-003|8.|Cr.43a.8.,0059-003|7.|Cr.43a.7.,Σωκράτης. ἄρτι δὲ ἥκεις ἢ πάλαι;,"Socrates. Have you just come, or some time ago?",Soc. And are you only just come?,Sokrates: Bist du eben erst gekommen oder schon lange?,هماکنون یا زودتر رسیده‌ای؟,سقراط اما تازه آمده‌ای یا خیلی وقت است ؟,اکنون رسیده ای یا زمانی پیشتر؟,همین حالا رسیده‌ای یا مدتی می‌شود ؟,لیک اینک رسیده ایی یا پیش تر ؟,تازه رسیده ای یا دیرگاهی است؟, سقراط: هم اکنون آمدی یا خیلی وقت است؟, سقراط: همین حالا رسیده‌ای یا دیرگاهی [است]؟, سقراط: اینک رسیده‌ای یا پیشتر؟,هم اکنون آمدی یا زمان زیادی است؟
0059-003|9.|Cr.43b.1.,0059-003|8.|Cr.43a.8.,Κρίτων. ἐπιεικῶς πάλαι.,Crito. Some little time ago.,"Cr. No, I came some time ago.",Kriton: Schon ziemlich lange.,مدتی است ملحق شده‌ام ,. کریون مدتی است,کمی پیشتر .,دیرگاهی به نظر می‌آید . ( می‌شود ),قدری پیش تر .,کمابیش دیرگاهی است .,کریتون: قدری پیشتر.,کریتون: کمابیش دیرگاهی است.,کریتون: کمی پیشتر.,نسبتا زیاد
0059-003|10.|Cr.43b.2.,0059-003|9.|Cr.43b.1.,"Σωκράτης. εἶτα πῶς οὐκ εὐθὺς ἐπήγειράς με, ἀλλὰ σιγῇ παρακάθησαι;","Socrates. Then why did you not wake me at once, instead of sitting by me in silence?","Soc. Then why did you sit and say nothing, instead of awakening me at once?","Sokrates: Warum also hast du mich nicht gleich geweckt, sondern dich so still hingesetzt?","پس از [ رسیدن ] چرا بی‌درنگ بیدارم نکردی , بلکه بی‌صدا در کنارم نشستی؟ بله",سقراط پس چطور مرا همان‌وقت بیدار نکردی عوضِ آن‌که خاموش کناری بنشینی ؟,پس چرا آن هنگام مرا بیدار نکردی بلکه ساکت در گوشه ای نشتی؟,"پس برای چه مرا همان لحظه بیدار نکرده‌ای , و در عوض در سکوت در کنار [ من ] نشسته‌ای ؟",س اما چگونه بی آنکه بی درنگ مرا بیدار کنی خاموش بر بالین ام نشستی ؟,پس چرا فورا بیدارم نکردی و همینطور کنارم خاموش نشستی؟, سقراط: پس چرا بی‌درنگ بیدارم نکردی، بلکه خاموش در کنارم نشستی؟, سقراط: پس چطور مرا همان‌وقت بیدار نکردی، عوضِ آن‌که خاموش کناری بنشینی ؟, سقراط: پس چطور فورا بیدارم نکردی و در عوض کنارم خاموش نشستی؟,"پس چرا به جای آنکه ساکت نشستی , مرا همان موقع بیدار نکردی"
