Sentence number	Greek	Fowler	Jowett	Schleiermacher	Rahimi	Nikpour	Mohammadi	Mahmoudzadeh	Assimi						
0059-003|1.|Cr.43a.1.	Σωκράτης. τί τηνικάδε ἀφῖξαι, ὦ Κρίτων;	Socrates. Why have you come at this time, Crito?	Soc. Why have you come at this hour, Crito?	Sokrates: Wie bist du schon um diese Zeit gekommen, Kriton?		کریتون , چرا این وقت روز آمده‌ای ؟	ای کریتون، برای چه بدین زودی آمده‌ای؟	سقراط: چرا اینسان زود آمده ایی کریتون ؟	چطور در این وقت آمده ای , ای کریتون؟						
0059-003|2.|Cr.43a.2.	ἢ οὐ πρῲ ἔτι ἐστίν;	Or isn't it still early?	it must be quite early.	Oder ist es nicht noch früh?		آیا هنوز زود نیست ؟	یا هنوز زود نیست ؟	یا اینکه اکنون خیلی زود نیست ؟	یا دیگر زود هم نیست؟						
0059-003|3.|Cr.43a.3.	Κρίτων. πάνυ μὲν οὖν.	Crito. Yes, very early.	Cr. Yes, certainly.	Kriton: Noch gar sehr.		. کریتون به‌واقع خیلی	آری چنین است .	البته که چنین است .	چرا یقینا همینطور است . 						
0059-003|4.|Cr.43a.4.	Σωκράτης. πηνίκα μάλιστα;	Socrates. About what time?	Soc. What is the exact time?	Sokrates: Welche Zeit wohl?	به راستی چه وقت/موقع است؟	سقراط حدوداً چه ساعتی است ؟	حدوداً چه زمانی است ؟	سقراط: حدوداً چه زمانی است ؟	دقیقا چه وقت است؟						
0059-003|5.|Cr.43a.5.	Κρίτων. ὄρθρος βαθύς.	Crito. Just before dawn.	Cr. The dawn is breaking.	Kriton: Die erste Morgendämmerung.	پیش از سپیده‌دم .	. کریتون درست پیش از سپیده‌دم	به هنگام گرگ و میش صبح .	کریتون: اندکی تا سپیده دم .	پیش از سپیده سحر						
0059-003|6.|Cr.43a.6.	Σωκράτης. θαυμάζω ὅπως ἠθέλησέ σοι ὁ τοῦ δεσμωτηρίου φύλαξ ὑπακοῦσαι.	Socrates. I am surprised that the watchman of the prison was willing to let you in.	Soc. I wonder the keeper of the prison would let you in.	Sokrates: Da wundere ich mich, daß der Schließer des Gefängnisses dir aufmachen gewollt hat.	درعحبم که نگهبان زندان اینچنین به پذیرفتن‌ات/ راه دادن ‌ات مایل شد .	. سقراط تعجب می‌کنم چطور نگهبان زندان به تو اذن ورود داد	در شگفتم که چگونه نگهبان زندان به داخل شدن تو [به سلول من] راضی شد!	سقراط: درشگفتم نگهبان زندان چگونه راضی به گشودنِ در برای تو شد ؟	در عجبم که چطور این نگهبان زندان خوش داشته ترا بنیوشد .						
0059-003|7.|Cr.43a.7.	Κρίτων. συνήθης ἤδη μοί ἐστιν, ὦ Σώκρατες, διὰ τὸ πολλάκις δεῦρο φοιτᾶν, καί τι καὶ εὐεργέτηται ὑπ᾽ ἐμοῦ.	Crito. He is used to me by this time, Socrates, because I come here so often, and besides I have done something for him.	Cr. He knows me because I often come, Socrates; moreover. I have done him a kindness.	Kriton: Er ist schon gut bekannt mit mir, Sokrates, weil ich oft hieher komme. Auch hat er wohl eher etwas von mir erhalten.	از پیش با من آشنا است ,ای سقراط , چراکه  اغلب به اینجا می آیم، ونیز از من چیزی به او رسیده است.	کریتون سقراط , او از پیش با من آشناست , زیرا رفت‌و‌آمدم بدین‌سو بسیار است , و گذشته از این از قِبل من چیزی به سود برده است .	به دلیل رفت‌وآمد بسیار به اینجا دیگر به من عادت کرده است، ای سقراط، همچنین از من به او لطفی و نفعی رسیده است.	به خاطرِ رفت و آمد بسیار بدین جا دیگر با من آشناست , ای سقراط !وانگهی از سویِ من تطمیع نیز شده است .	چندی است که به خاطر تردد مکرر بدینجای آشنای من است , ای سقراط و به علاوه از جانب من به او خیر رسیده است .						
0059-003|8.|Cr.43a.8.	Σωκράτης. ἄρτι δὲ ἥκεις ἢ πάλαι;	Socrates. Have you just come, or some time ago?	Soc. And are you only just come?	Sokrates: Bist du eben erst gekommen oder schon lange?	هماکنون یا زودتر رسیده‌ای؟	سقراط اما تازه آمده‌ای یا خیلی وقت است ؟	لیک همین حالا رسیده‌ای یا مدتی می‌شود؟	سقراط: لیک اینک رسیده ایی یا پیش تر ؟	تازه رسیده ای یا دیرگاهی است؟						
0059-003|9.|Cr.43b.1.	Κρίτων. ἐπιεικῶς πάλαι.	Crito. Some little time ago.	Cr. No, I came some time ago.	Kriton: Schon ziemlich lange.	دیرگاهی است.	. کریون مدتی است	نسبتاً دیرگاهی است.	کریتون: قدری پیش تر .	کمابیش دیرگاهی است .						
0059-003|10.|Cr.43b.2.	Σωκράτης. εἶτα πῶς οὐκ εὐθὺς ἐπήγειράς με, ἀλλὰ σιγῇ παρακάθησαι;	Socrates. Then why did you not wake me at once, instead of sitting by me in silence?	Soc. Then why did you sit and say nothing, instead of awakening me at once?	Sokrates: Warum also hast du mich nicht gleich geweckt, sondern dich so still hingesetzt?	پس چرا بی‌درنگ مرا  بیدار نکردی, بل بی‌صدا در کنارم نشستی؟	سقراط پس چطور مرا همان‌وقت بیدار نکردی عوضِ آن‌که خاموش کناری بنشینی ؟	پس برای چه مرا همان لحظه بیدار نکرده‌ای , و در عوض در سکوت در کنار [ من ] نشسته‌ای ؟	پس اما چگونه بی آنکه بی درنگ مرا بیدار کنی خاموش بر بالین ام نشستی ؟	پس چرا فورا بیدارم نکردی و همینطور کنارم خاموش نشستی؟						
