Author Name,WORK IDs,CTS-URN/s,# of translations,Edition Title,Editor; Translator,Publisher,Date,Original File Name/Location,Addiional File location/locations,Source Edition LInk,Translation Language,Worldcat Link,Work/s Split Up/Renamed in Branch,New File Name/s,Notes,TOC,Additional TOC
Aeschylus,0085.001 0085.002 0085.003 0085.004 0085.005 0085.006 0085.007,urn:cts:greekLit:tlg0085.tlg001.ogl-eng1 urn:cts:greekLit:tlg0085.tlg002.ogl-eng1 urn:cts:greekLit:tlg0085.tlg003.ogl-eng1 urn:cts:greekLit:tlg0085.tlg004.ogl-eng1 urn:cts:greekLit:tlg0085.tlg005.ogl-eng1 urn:cts:greekLit:tlg0085.tlg006.ogl-eng1 urn:cts:greekLit:tlg0085.tlg007.ogl-eng1,7,The Dramas of Aeschylus,"Swanwick, Anna, 1831-1899",Bell,1886,aeschylus_1886.xml,,http://www.archive.org/details/dramasswa00aescuoft,English,,no,,,,
Aeschylus,0085.001 0085.002 0085.003 0085.004 0085.005 0085.006 0085.007,urn:cts:greekLit:tlg0085.tlg001.ogl-eng2 urn:cts:greekLit:tlg0085.tlg002.ogl-eng2 urn:cts:greekLit:tlg0085.tlg003.ogl-eng2 urn:cts:greekLit:tlg0085.tlg004.ogl-eng2 urn:cts:greekLit:tlg0085.tlg005.ogl-eng2 urn:cts:greekLit:tlg0085.tlg006.ogl-eng2 urn:cts:greekLit:tlg0085.tlg007.ogl-eng2,7,The Tragedies of Aeschylus,"Buckley, Theodore Alois, 1825-1856",Bell,1888,aeschylus_1888.xml,,https://archive.org/details/tragediesliteral00aescuoft,English,,no,,,,
Aeschylus,0085.001 0085.002 0085.003 0085.004 0085.005 0085.006 0085.007,urn:cts:greekLit:tlg0085.tlg001.ogl-eng3 urn:cts:greekLit:tlg0085.tlg002.ogl-eng3 urn:cts:greekLit:tlg0085.tlg003.ogl-eng3 urn:cts:greekLit:tlg0085.tlg004.ogl-eng3 urn:cts:greekLit:tlg0085.tlg005.ogl-eng3 urn:cts:greekLit:tlg0085.tlg006.ogl-eng3 urn:cts:greekLit:tlg0085.tlg007.ogl-eng3,7,The Plays of Aeschylus,"Headlam, Walter George, 1866-1908",Bell,1909,aeschylus_1909.xml,,http://www.archive.org/details/aeschylusplays00aesciala,English,,no,,,,
Aeschylus,0085.005 0085.006 0085.007,urn:cts:greekLit:tlg0085.tlg005.ogl-fre2  urn:cts:greekLit:tlg0085.tlg006.ogl-fre2   urn:cts:greekLit:tlg0085.tlg007.ogl-fre2 ,3,L'orestie trilogie tragique d’Eschyle,"Mesnard, Paul, 1812-1899
                           ",Hachette,1863,aeschylus_1863.xml,,http://hdl.handle.net/2027/hvd.32044085081941,French,,no,,,"Agamemnon, Choephori, Eumenides",
Aeschylus,0085.001 0085.002 0085.003 0085.004 0085.005 0085.006 0085.007,urn:cts:greekLit:tlg0085.tlg001.ogl-fre1 urn:cts:greekLit:tlg0085.tlg002.ogl-fre1 urn:cts:greekLit:tlg0085.tlg003.ogl-fre1 urn:cts:greekLit:tlg0085.tlg004.ogl-fre1 urn:cts:greekLit:tlg0085.tlg005.ogl-fre1 urn:cts:greekLit:tlg0085.tlg006.ogl-fre1 urn:cts:greekLit:tlg0085.tlg007.ogl-fre1,7,Eschyle,"Lemerre, Alphonse, 1838-1912",Alphonse Lemerre,1872,aeschylus_1872.xml,,http://hdl.handle.net/2027/mdp.39015030384096,French,,no,,,,
Aeschylus,0085.005 0085.006 0085.007,urn:cts:greekLit:tlg0085.tlg005.ogl-ger2  urn:cts:greekLit:tlg0085.tlg006.ogl-ger2  urn:cts:greekLit:tlg0085.tlg007.ogl-ger2,3,"Griechische Tragoedien, Zweiter Band, Orestie","Wilamowitz-Moellendorff, Ulrich von 1848-1931",Weidmann,1901,Aeschylus_1901,,http://hdl.handle.net/2027/uc1.$b640797,German,,no,,,,
Aeschylus,0085.001 0085.002 0085.003 0085.004 0085.005 0085.006 0085.007 0085.008,urn:cts:greekLit:tlg0085.tlg001.ogl-ger1 urn:cts:greekLit:tlg0085.tlg002.ogl-ger1 urn:cts:greekLit:tlg0085.tlg003.ogl-ger1 urn:cts:greekLit:tlg0085.tlg004.ogl-ger1 urn:cts:greekLit:tlg0085.tlg005.ogl-ger1 urn:cts:greekLit:tlg0085.tlg006.ogl-ger1 urn:cts:greekLit:tlg0085.tlg007.ogl-ger1  urn:cts:greekLit:tlg0085.tlg008.ogl-ger1,8,Aischylos Werke,"Droysen, Johann Gustav, 1808-1884",Hertz,1868,aeschylus_1868.xml,,http://hdl.handle.net/2027/hvd.hn24a3,German,,no,,,Includes fragments,
"Aeschylus, Sophocles, Euripides and Aristophanes",0085.003 0085.005 0011.002 0011.004 0006.002 0006.003 0019.003 0019.011,urn:cts:greekLit:tlg0085.tlg003.ogl-eng4 urn:cts:greekLit:tlg0085.tlg005.ogl-eng4 urn:cts:greekLit:tlg0011.tlg002.ogl-eng1 urn:cts:greekLit:tlg0011.tlg004.ogl-eng1 urn:cts:greekLit:tlg0006.tlg002.ogl-eng1 urn:cts:greekLit:tlg0006.tlg003.ogl-eng1 urn:cts:greekLit:tlg0019.tlg003.ogl-eng3 urn:cts:greekLit:tlg0019.tlg011.ogl-eng4,8,Greek Dramas,"Browning, Elizabeth Barrett; Potter, Robert; Jebb, Richard Claverhouse; Franklin, Thomas; Way, Arthur S.; HIckie, William James",Appleton,1912,greekDramas_1912.xml,,http://hdl.handle.net/2027/uc2.ark:/13960/t2b85533z,English,,,,,"Prometheus Bound, ",
"Aesop, Hesiod, Quintus Smyrnaeus",0096.002 0020.001 0020.002 0020.003 2046.001,urn:cts:greekLit:tlg0096.tlg002.ogl-ger1 urn:cts:greekLit:tlg0020.tlg001.ogl-ger1 urn:cts:greekLit:tlg0020.tlg002.ogl-ger1 urn:cts:greekLit:tlg0020.tlg003.ogl-ger1 urn:cts:greekLit:tlg2046.tlg001.ogl-ger1,4,"Äsop, Hesiod, Quintus","Binder, Wilhelm; Eyth, Eduard; Donner, Johann Jacob Christian Donner",Langenscheidt,1865-1866,aesopHesiodQuintus_1865-1866.xml,,http://hdl.handle.net/2027/uc1.$b310856,German,,,,,,
Alciphron,0640.001,urn:cts:greekLit:tlg0640.tlg001.ogl-eng1,1,The Letters of Alciphron,Unknown,Privately printed for the Athenian Society,1896,alciphron_1896.xml,,https://archive.org/details/alciphronliteral00alcirich,English,,yes,tlg0640.tlg001.ogl-eng1.xml,,,
